brand_slug,origem,total,verified_inci,catalog_only,quarantined,non_hair_marcado,kits,pct_inci
o-boticario,nacional,1884,1139,745,0,1459,34,60.5
eudora,nacional,1804,695,1109,0,938,3,38.5
salon-line,nacional,792,771,21,0,25,145,97.3
griffus,nacional,791,99,691,1,33,5,12.5
amend,nacional,706,629,75,2,0,430,89.1
apice-cosmeticos,outras,622,188,418,16,27,1,30.2
new-old-man,outras,528,173,345,10,57,9,32.8
belliz-company,nacional,499,5,494,0,94,0,1.0
haskell,nacional,482,132,350,0,9,43,27.4
abelha-rainha,nacional,436,0,436,0,187,0,0.0
beleza-natural,nacional,410,207,168,35,1,17,50.5
left-cosmeticos,nacional,390,283,107,0,30,14,72.6
fox-for-men,outras,390,0,390,0,15,0,0.0
mondial,outras,387,236,142,9,259,0,61.0
dyusar,nacional,372,32,340,0,5,0,8.6
philco,outras,372,0,358,14,154,0,0.0
natura,nacional,370,243,127,0,179,0,65.7
flora-pura,nacional,355,6,341,8,93,0,1.7
b-o-b-bars,nacional,354,114,240,0,60,14,32.2
karina,outras,354,56,298,0,156,0,15.8
felps-professional,nacional,353,222,123,8,3,6,62.9
alva,outras,341,135,206,0,135,7,39.6
hidratei,nacional,341,121,220,0,14,30,35.5
natuhair,nacional,333,218,115,0,5,0,65.5
widi-care,nacional,319,44,275,0,4,1,13.8
vizet,outras,315,104,210,1,16,3,33.0
loccitane,outras,307,9,282,16,143,0,2.9
keragen,nacional,286,249,35,2,2,6,87.1
de-benguela,outras,286,0,286,0,0,0,0.0
keune,internacional,284,254,30,0,28,48,89.4
joico,outras,281,168,104,9,0,0,59.8
london-cosmeticos,outras,276,2,266,8,0,0,0.7
kerastase,internacional,272,128,52,92,0,9,47.1
mahogany,outras,265,63,202,0,144,0,23.8
spa-cosmetics,nacional,258,14,244,0,8,0,5.4
facinatus-cosmeticos,nacional,245,40,205,0,78,0,16.3
amahka-paris,outras,245,67,177,1,154,6,27.3
red-iron,nacional,243,48,195,0,1,1,19.8
kiria-hair-professional,outras,241,44,190,7,0,0,18.3
elseve,nacional,228,5,223,0,2,0,2.2
pokoloka,outras,228,4,224,0,79,1,1.8
brae,nacional,228,1,227,0,0,0,0.4
treeliss-profissional,outras,225,102,123,0,1,19,45.3
inoar,nacional,218,202,16,0,1,1,92.7
acquarara,outras,214,99,115,0,1,0,46.3
all-nature,outras,214,159,55,0,1,11,74.3
soupleliss-professional,outras,210,78,132,0,4,11,37.1
myphios-professional,outras,205,119,86,0,10,24,58.0
baume,outras,202,42,160,0,44,0,20.8
gota-dourada,nacional,199,6,193,0,2,0,3.0
bio-extratus,nacional,197,0,197,0,4,0,0.0
wbeauty-cosmeticos,outras,196,0,192,4,0,0,0.0
fattore,outras,193,46,147,0,17,0,23.8
forever-liss-professional,outras,190,138,52,0,8,15,72.6
arvensis-cosmeticos-naturais,outras,189,5,149,35,0,2,2.6
muriel,nacional,177,5,117,55,0,0,2.8
mahair-cosmetics,outras,171,16,145,10,2,3,9.4
c-kamura,outras,156,4,152,0,5,1,2.6
knut,outras,155,32,123,0,0,0,20.6
capicilin,outras,151,0,151,0,0,0,0.0
alphahall-cosmetiques,outras,151,140,11,0,15,0,92.7
paiolla-professional,outras,149,100,44,5,6,0,67.1
professional-paris-cosmetics,outras,149,0,145,4,0,0,0.0
seda,nacional,146,104,41,1,1,0,71.2
lucy-s,outras,145,1,144,0,21,0,0.7
adlux-cosmeticos,outras,140,7,133,0,4,0,5.0
essendy,outras,132,101,31,0,2,5,76.5
lacan,outras,124,107,17,0,0,1,86.3
barba-urbana,outras,119,79,40,0,28,8,66.4
aneethun,nacional,118,0,118,0,0,0,0.0
dove,nacional,116,3,113,0,1,0,2.6
tekmi-cosmeticos,outras,112,82,30,0,2,19,73.2
redken,internacional,112,28,79,5,2,0,25.0
avatim,outras,105,87,18,0,58,0,82.9
belletonn,outras,102,61,41,0,13,22,59.8
mega-bell,outras,100,4,96,0,10,0,4.0
acquaflora,outras,100,1,99,0,7,0,1.0
rigolim-hair-co,outras,97,19,72,6,4,0,19.6
ox-cosmeticos,outras,94,43,51,0,0,1,45.7
live-aloe,outras,92,52,36,4,22,4,56.5
blueken-professional,outras,91,68,23,0,0,7,74.7
larree,outras,86,86,0,0,0,0,100.0
cosmobeauty,outras,86,39,47,0,13,2,45.3
silone-hair,outras,84,3,81,0,0,0,3.6
1ka-hair,outras,83,1,82,0,5,0,1.2
agilise-cosmeticos,nacional,81,54,27,0,1,0,66.7
retro-cosmeticos,outras,81,35,38,8,0,0,43.2
probelle,outras,76,4,72,0,4,1,5.3
mio-capelli,outras,75,29,46,0,21,0,38.7
batiste,outras,75,4,71,0,10,0,5.3
mestre-dos-cachos,outras,73,9,64,0,1,2,12.3
ativare,outras,71,34,37,0,1,0,47.9
abela-cosmetics,outras,71,48,23,0,0,10,67.6
k-bell,outras,71,0,71,0,0,0,0.0
phytobelle,outras,70,2,68,0,0,1,2.9
lana-brasiles,outras,67,2,65,0,1,0,3.0
aramath-cosmeticos,nacional,63,42,16,5,0,6,66.7
mustela,outras,62,32,27,3,19,0,51.6
granado,outras,61,57,4,0,25,2,93.4
pantene,internacional,58,44,14,0,4,0,75.9
amazonico-care,outras,58,15,43,0,0,0,25.9
b-hulmann,outras,52,16,36,0,2,0,30.8
soul-cosmeticos,outras,52,0,52,0,0,0,0.0
mazavie-cosmetics,outras,50,0,50,0,0,0,0.0
barba-de-respeito,outras,46,0,46,0,0,0,0.0
salunat,outras,46,30,16,0,0,0,65.2
brscience-profissional,outras,46,2,44,0,2,0,4.3
laby,outras,45,3,42,0,5,2,6.7
okyo,outras,42,26,16,0,3,0,61.9
bemgloria,outras,42,0,42,0,0,0,0.0
dr-jack,outras,41,0,35,6,5,0,0.0
alpha-line,outras,41,19,22,0,0,4,46.3
barba-robusta,outras,41,9,32,0,3,0,22.0
sense-brasil,outras,41,0,41,0,0,0,0.0
balai,outras,40,20,19,1,1,0,50.0
malina-beauty,outras,36,35,1,0,11,3,97.2
descomplica-curvas,outras,34,11,23,0,0,0,32.4
hiato-fitocosmeticos,outras,33,7,26,0,2,0,21.2
kpriche-professional,outras,33,11,22,0,0,4,33.3
menina-e-mulher-cosmeticos,outras,33,17,13,3,17,0,51.5
nordic-smells,outras,33,2,31,0,2,0,6.1
tresemme,internacional,32,32,0,0,0,0,100.0
beleza-ruiva,outras,32,25,7,0,3,3,78.1
bendita-canfora,outras,32,0,32,0,0,0,0.0
kah-noa,outras,27,9,18,0,1,0,33.3
barba-de-macho,outras,26,1,25,0,0,0,3.8
wella,internacional,23,9,13,1,0,0,39.1
imunehair,outras,21,21,0,0,0,5,100.0
veggue-profissional,outras,21,8,13,0,0,0,38.1
cia-da-barba,outras,21,1,20,0,0,0,4.8
rainha-dos-cachos,outras,18,8,10,0,0,1,44.4
breany-liss,outras,16,0,16,0,0,0,0.0
aussie,outras,16,12,4,0,0,0,75.0
fabulosa-lizz,outras,13,2,11,0,0,1,15.4
bio-instinto,outras,11,11,0,0,3,5,100.0
new-hair,outras,11,6,5,0,5,2,54.5
my-brush,outras,9,4,5,0,0,1,44.4
sos-frizz,outras,6,5,1,0,0,1,83.3
head-and-shoulders,internacional,5,0,5,0,0,0,0.0
oriente-life,outras,5,0,0,5,0,0,0.0
qod,outras,5,0,0,5,0,0,0.0
med-for-you-professional,outras,5,0,0,5,0,0,0.0
hair-extrattus,outras,5,0,0,5,0,0,0.0
lola-cosmetics,nacional,5,0,0,5,0,0,0.0
azenka,outras,5,0,0,5,0,0,0.0
barrominas,outras,4,1,3,0,0,0,25.0
trevor-sorbie,outras,3,0,3,0,0,0,0.0
grankera,outras,2,0,2,0,0,0,0.0
strattus,outras,2,0,2,0,0,0,0.0
a-line,outras,2,0,0,2,0,0,0.0
b-urb,outras,1,0,1,0,0,0,0.0
loccitane-us,outras,1,0,1,0,0,0,0.0
