brand_slug,brand_name,origem,total,verified_inci,pct_inci,termo_volume,termo_inci,motivo,observacao,url_atual,status_brand_json,priority
davines,Davines,internacional,0,0,0.0,🔴 vazio,⚪ N/A,cloudflare_blocked,Site bloqueia scraper. Precisa entrada manual ou parceria.,,active,
truss,TRUSS,nacional,0,0,0.0,🔴 vazio,⚪ N/A,cloudflare_blocked,Site bloqueia scraper. Precisa entrada manual ou parceria.,,active,1
wella-professionals,Wella Professionals,nacional,0,0,0.0,🔴 vazio,⚪ N/A,cloudflare_blocked,Site bloqueia scraper. Precisa entrada manual ou parceria.,,active,
50-megumi,50 Megumi,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
acca-kappa,Acca Kappa,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ache,Ache,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,41
aesop,Aesop,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
agadir-argan-oil,Agadir Argan Oil,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ahava,Ahava,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
alfaparf,AlfaParf,internacional,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
american-crew,American Crew,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
american-desire,American Desire,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,blocked_maintenance,3
anuar-cosmeticos,Anuar Cosméticos,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
any-liss,Any Liss,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
apivita,Apivita,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
aromatherapy-associates,Aromatherapy Associates,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
aromia-cosmeticos,Aromia Cosméticos,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ativo-natural,Ativo Natural,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
aveda,Aveda,internacional,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
avlon,Avlon,nacional,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
avon,Avon,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
barba-de-urso,Barba de Urso,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
baxter-of-california,Baxter of California,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
be-belle,Be Belle,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
beauty-secret,Beauty Secret,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
beauty-world,Beauty World,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
beautycolor,BeautyColor,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
bebe-natureza,Bebê Natureza,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
bedalm-pharma-do-brasil,Bedalm Pharma do Brasil,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
begonia-cosmeticos,Begônia Cosméticos,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
belcazzi-profissional,Belcazzi Profissional,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
beleza-express,Beleza Express,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
belkit,Belkit,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
belliz,Belliz,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
belofio-professional,Belofio Professional,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
beto-bita,Beto Bita,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
better-not-younger,Better Not Younger,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
beudose,Beudose,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
billy-jealousy,Billy Jealousy,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
biocale,Biocale,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
bioderma,Bioderma,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
biofios-profissional,Biofios Profissional,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
biosilk,BioSilk,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
biotipo-brazil,Biotipo Brazil,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
bjork-berries,Björk & Berries,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
black-beauty,Black Beauty,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
blu-magic,Blu Magic,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
boe-boe-cosmetics,BOE / Boé Cosmetics,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
bomba,Bomba,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
bondi-wash,BONDI WASH,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
bonita-por-natureza,Bonita por Natureza,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
borabella,Borabella,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
bosley,Bosley,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
bothanico-hair,Bothanico Hair,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
br-co,Br&Co,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
braliz,Braliz,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
bravet,Bravet,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
bravir,Bravir,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
bumble-and-bumble,Bumble and Bumble,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
butterfly,Butterfly,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
c-alma,C/ALMA,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
cadiveu-professional,Cadiveu Professional,nacional,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
care-for-you,Care for You,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
carols-daughter,Carol’s Daughter,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
casa-da-india,Casa da Índia,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
cavalera,Cavalera,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
charmelle,Charmelle,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,out_of_scope,
charming,Charming,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
che-figo,Che Figo,nacional,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
chi-farouk-systems,CHI (Farouk Systems),outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
chons,Chons,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
christine-adans,Christine Adans,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
christophe-robin,Christophe Robin,internacional,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
classe-a,Classe A,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
clear,Clear,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,23
cless,Cless,nacional,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
clorofitum,Clorofitum,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
coiffer,Coiffer,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
colgate-palmolive,Colgate-Palmolive,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,37
color-affair,Color Affair,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
color-pro,Color Pro,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
color-wow,Color WOW,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
corpo-dourado,Corpo Dourado,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
cosmeceuta,Cosmeceuta,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
cosmedix,CosMedix,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
cris-dios-organics,Cris Dios Organics,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
crown-us-professional,Crown'us Professional,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
curly-care,Curly Care,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
daare,Daarê,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dabelle-hair,DaBelle Hair,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dacca-professional,Dacca Professional,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dalsan-cosmeticos,Dalsan Cosméticos,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dama-hair,Dama Hair,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
de-sirius,De Sirius,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dermare,Dermare,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
design-me,Design.ME,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
detagold,Detagold,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
detra-hair-cosmetics,Detra Hair Cosmetics,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
devacurl,DevaCurl,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dhonna,Dhonna,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
diamante-profissional,Diamante Profissional,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dicolore,Dicolore,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
diego-dalla-palma-milano,Diego Dalla Palma Milano,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
diliza-professional,Diliza Professional,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dimension,Dimension,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
divcom,Divcom,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
divine-meches,Divine Mèches,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
do-ha,DO.HA,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dom-pelo,Dom Pelo,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
don-alcides,Don Alcides,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
doona,Doona,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
doono,Doono,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dr-barbara-sturm,Dr. Barbara Sturm,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dr-hauschka,Dr. Hauschka,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dr-seed,Dr. Seed,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
dr-zero,Dr ZERO,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ducray,Ducray,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
duetto-professional,Duetto Professional,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
eae-cosmeticos,Eaê Cosméticos,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ecosix-professional,Ecosix Professional,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ecosmetics,Ecosmetics,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
eico,Eico,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
eizz,EIZZ,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ekilibre-amazonia,Ekilibre Amazônia,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ekobe,Ekobé,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
eleven-australia,Eleven Australia,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
elfa-4men,Elfa 4men,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
eliana-mendes,Eliana Mendes,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
elisafer,Elisafer,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ellips,Ellips,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
elvis-elvin,Elvis + Elvin,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
emah-hair-care,Emáh Hair Care,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
embaixador,Embaixador,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
enzz-cosmetics,Enzz Cosmetics,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
eri-haircare,Eri Haircare,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
erven-cosmetics,Erven Cosmetics,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
ervik,Ervik,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
escovas-evas,Escovas Evas,outras,0,0,0.0,🔴 vazio,⚪ N/A,missing_url,URL nao cadastrada em brands.json. Adicionar e rodar discovery.,,active,
